seed,tasks,workers,noise_bound,policy,mean_wait,mean_completion,makespan,slot_utilization,prediction_mae
3,30,2,0.25,fcfs,42.553458351703696,49.8038273630335,115.3118314823479,0.9431429001853602,1.0878544972616668
3,30,2,0.25,sjf,25.4439483837369,32.694317395066705,116.7016003220796,0.9319112580272895,1.0878544972616668
3,30,2,0.5,fcfs,42.553458351703696,49.8038273630335,115.3118314823479,0.9431429001853602,2.1757089945233337
3,30,2,0.5,sjf,26.252329234528883,33.50269824585869,109.0741702549532,0.9970787301497569,2.1757089945233337
3,30,2,1.0,fcfs,42.553458351703696,49.8038273630335,115.3118314823479,0.9431429001853602,4.351417989046667
3,30,2,1.0,sjf,32.34828954234835,39.598658553678156,111.50110996371606,0.9753762559434396,4.351417989046667
4,30,2,0.0,fcfs,46.4868632993442,52.945849014490484,100.2167433430191,0.966752485615899,0.0
4,30,2,0.0,sjf,21.31001517573225,27.769000890878537,102.19086265697939,0.9480767967719794,0.0
4,30,2,0.25,fcfs,46.4868632993442,52.945849014490484,100.2167433430191,0.966752485615899,0.8828378658253921
4,30,2,0.25,sjf,21.429542675144326,27.888528390290613,102.26923272569483,0.947350274809017,0.8828378658253921
4,30,2,0.5,fcfs,46.4868632993442,52.945849014490484,100.2167433430191,0.966752485615899,1.7656757316507845
4,30,2,0.5,sjf,21.736336098157505,28.195321813303792,100.21586123207483,0.9667609950767516,1.7656757316507845
4,30,2,1.0,fcfs,46.4868632993442,52.945849014490484,100.2167433430191,0.966752485615899,3.5313514633015695
4,30,2,1.0,sjf,22.78901621224122,29.248001927387506,104.75989895291288,0.9248270253748694,3.5313514633015695
5,30,2,0.0,fcfs,49.74151679348138,56.193512678614034,100.23096642680653,0.9655692419933231,0.0
5,30,2,0.0,sjf,23.135128989461485,29.587124874594142,102.87262142520653,0.9407744931177202,0.0
5,30,2,0.25,fcfs,49.74151679348138,56.193512678614034,100.23096642680653,0.9655692419933231,0.8884108302845518
5,30,2,0.25,sjf,23.454078547135413,29.906074432268067,103.95760231781851,0.930955852378307,0.8884108302845518
5,30,2,0.5,fcfs,49.74151679348138,56.193512678614034,100.23096642680653,0.9655692419933231,1.7768216605691043
5,30,2,0.5,sjf,24.2155643391415,30.667560224274155,101.44309008024352,0.9540318438686649,1.7768216605691043
5,30,2,1.0,fcfs,49.74151679348138,56.193512678614034,100.23096642680653,0.9655692419933231,3.5536433211382086
5,30,2,1.0,sjf,29.62724570958758,36.07924159472024,103.58930477588991,0.9342657380157939,3.5536433211382086
6,30,2,0.0,fcfs,47.78184033724975,54.41276078407205,99.63889343875567,0.9982427872251634,0.0
6,30,2,0.0,sjf,23.6644378186109,30.2953582654332,102.14372909795567,0.9737632214988831,0.0
6,30,2,0.25,fcfs,47.78184033724975,54.41276078407205,99.63889343875567,0.9982427872251634,0.9107887992694896
6,30,2,0.25,sjf,24.051345902036473,30.682266348858775,101.5359370026663,0.9795921487356996,0.9107887992694896
